row_type,model,display_name,threshold,metric,value,fpr,tpr,precision,recall,tn,fp,fn,tp,accuracy,f1,ms_per_frame
roc_point,original,SIRCH original (epoch 4),0.5035728216171265,roc_point_83,,0.19333333333333333,0.9297658862876255,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.49777767062187195,roc_point_84,,0.19333333333333333,0.9331103678929766,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.4859457015991211,roc_point_85,,0.19666666666666666,0.9331103678929766,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.44774526357650757,roc_point_86,,0.19666666666666666,0.9565217391304348,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.4432840347290039,roc_point_87,,0.2,0.9565217391304348,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.4395938217639923,roc_point_88,,0.2,0.959866220735786,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.4181969165802002,roc_point_89,,0.20333333333333334,0.959866220735786,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.41603943705558777,roc_point_90,,0.20333333333333334,0.9632107023411371,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.37322819232940674,roc_point_91,,0.22,0.9632107023411371,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.37174272537231445,roc_point_92,,0.22,0.9665551839464883,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.2449040561914444,roc_point_93,,0.2733333333333333,0.9665551839464883,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.24308906495571136,roc_point_94,,0.2733333333333333,0.9698996655518395,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.22735123336315155,roc_point_95,,0.2866666666666667,0.9698996655518395,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.22576507925987244,roc_point_96,,0.2866666666666667,0.9732441471571907,,,,,,,,,
roc_point,original,SIRCH original (epoch 4),0.13040274381637573,roc_point_97,,0.3433333333333333,0.9732441471571907,,,,,,,,,
