k,threshold,n_validation,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,selected
5,0.9,594,280,18,61,235,0.867003367003367,0.8667581171775802,0.9288537549407114,0.793918918918919,0.8561020036429873,0.06040268456375839,0.20608108108108109,0
7,0.3,594,227,71,13,283,0.8585858585858586,0.8589130237620171,0.7994350282485876,0.956081081081081,0.8707692307692307,0.23825503355704697,0.04391891891891892,0
7,0.35,594,228,70,16,280,0.8552188552188552,0.8555233085434428,0.8,0.9459459459459459,0.8668730650154799,0.2348993288590604,0.05405405405405406,0
7,0.4,594,235,63,16,280,0.867003367003367,0.8672682749863958,0.8163265306122449,0.9459459459459459,0.8763693270735524,0.21140939597315436,0.05405405405405406,0
7,0.45,594,242,56,18,278,0.8754208754208754,0.8756348630509705,0.8323353293413174,0.9391891891891891,0.8825396825396825,0.18791946308724833,0.060810810810810814,0
7,0.5,594,246,52,21,275,0.877104377104377,0.877278704879376,0.8409785932721713,0.9290540540540541,0.8828250401284109,0.174496644295302,0.07094594594594594,0
7,0.55,594,254,44,21,275,0.8905723905723906,0.8907015236713223,0.8620689655172413,0.9290540540540541,0.8943089430894309,0.1476510067114094,0.07094594594594594,0
7,0.6,594,258,40,24,272,0.8922558922558923,0.892345365499728,0.8717948717948718,0.918918918918919,0.8947368421052632,0.1342281879194631,0.08108108108108109,1
7,0.65,594,260,38,31,265,0.8838383838383839,0.8838767458733902,0.8745874587458746,0.8952702702702703,0.8848080133555927,0.12751677852348994,0.10472972972972973,0
7,0.7,594,264,34,34,262,0.8855218855218855,0.8855205877017958,0.8851351351351351,0.8851351351351351,0.8851351351351351,0.11409395973154363,0.11486486486486487,0
7,0.75,594,267,31,38,258,0.8838383838383839,0.8837973879920189,0.8927335640138409,0.8716216216216216,0.882051282051282,0.1040268456375839,0.12837837837837837,0
7,0.8,594,274,24,46,250,0.8821548821548821,0.8820288409214584,0.9124087591240876,0.8445945945945946,0.8771929824561403,0.08053691275167785,0.1554054054054054,0
7,0.85,594,275,23,56,240,0.867003367003367,0.8668148013785597,0.9125475285171103,0.8108108108108109,0.8586762075134168,0.07718120805369127,0.1891891891891892,0
7,0.9,594,283,15,66,230,0.8636363636363636,0.8633457282786141,0.9387755102040817,0.777027027027027,0.8502772643253235,0.050335570469798654,0.22297297297297297,0
10,0.3,594,229,69,15,281,0.8585858585858586,0.8588903500816252,0.8028571428571428,0.9493243243243243,0.8699690402476781,0.23154362416107382,0.05067567567567568,0
10,0.35,594,235,63,16,280,0.867003367003367,0.8672682749863958,0.8163265306122449,0.9459459459459459,0.8763693270735524,0.21140939597315436,0.05405405405405406,0
10,0.4,594,242,56,18,278,0.8754208754208754,0.8756348630509705,0.8323353293413174,0.9391891891891891,0.8825396825396825,0.18791946308724833,0.060810810810810814,0
10,0.45,594,246,52,21,275,0.877104377104377,0.877278704879376,0.8409785932721713,0.9290540540540541,0.8828250401284109,0.174496644295302,0.07094594594594594,0
10,0.5,594,250,48,23,273,0.8804713804713805,0.8806117358969707,0.8504672897196262,0.9222972972972973,0.8849270664505673,0.1610738255033557,0.0777027027027027,0
10,0.55,594,257,41,25,271,0.8888888888888888,0.8889783239615454,0.8685897435897436,0.9155405405405406,0.8914473684210527,0.13758389261744966,0.08445945945945946,0
10,0.6,594,260,38,30,266,0.8855218855218855,0.8855659350625793,0.875,0.8986486486486487,0.8866666666666667,0.12751677852348994,0.10135135135135136,0
10,0.65,594,264,34,35,261,0.8838383838383839,0.8838313985126066,0.8847457627118644,0.8817567567567568,0.883248730964467,0.11409395973154363,0.11824324324324324,0
10,0.7,594,270,28,40,256,0.8855218855218855,0.8854525666606203,0.9014084507042254,0.8648648648648649,0.8827586206896552,0.09395973154362416,0.13513513513513514,0
10,0.75,594,274,24,45,251,0.8838383838383839,0.8837180301106475,0.9127272727272727,0.847972972972973,0.8791593695271454,0.08053691275167785,0.15202702702702703,0
10,0.8,594,278,20,54,242,0.8754208754208754,0.8752267368039179,0.9236641221374046,0.8175675675675675,0.8673835125448028,0.06711409395973154,0.18243243243243243,0
10,0.85,594,281,17,66,230,0.8602693602693603,0.8599900235806276,0.9311740890688259,0.777027027027027,0.8471454880294659,0.05704697986577181,0.22297297297297297,0
10,0.9,594,284,14,77,219,0.8468013468013468,0.8464424995465264,0.9399141630901288,0.7398648648648649,0.8279773156899811,0.04697986577181208,0.26013513513513514,0
