k,threshold,n_validation,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,selected
3,0.7,594,238,60,35,261,0.8400673400673401,0.840207237438781,0.8130841121495327,0.8817567567567568,0.8460291734197731,0.20134228187919462,0.11824324324324324,0
3,0.75,594,242,56,40,256,0.8383838383838383,0.8384727008888083,0.8205128205128205,0.8648648648648649,0.8421052631578947,0.18791946308724833,0.13513513513513514,0
3,0.8,594,257,41,50,246,0.8468013468013468,0.8467485942318157,0.8571428571428571,0.831081081081081,0.8439108061749572,0.13758389261744966,0.16891891891891891,0
3,0.85,594,267,31,61,235,0.8451178451178452,0.8449460366406676,0.8834586466165414,0.793918918918919,0.8362989323843416,0.1040268456375839,0.20608108108108109,0
3,0.9,594,272,26,69,227,0.8400673400673401,0.8398217848721204,0.8972332015810277,0.7668918918918919,0.8269581056466302,0.087248322147651,0.23310810810810811,0
5,0.3,594,189,109,7,289,0.8047138047138047,0.8052897696354072,0.7261306532663316,0.9763513513513513,0.8328530259365994,0.36577181208053694,0.02364864864864865,0
5,0.35,594,190,108,11,285,0.7996632996632996,0.8002108652276437,0.7251908396946565,0.9628378378378378,0.8272859216255443,0.3624161073825503,0.037162162162162164,0
5,0.4,594,196,102,13,283,0.8063973063973064,0.8068996009432251,0.7350649350649351,0.956081081081081,0.8311306901615272,0.3422818791946309,0.04391891891891892,0
5,0.45,594,205,93,15,281,0.8181818181818182,0.8186218937057863,0.7513368983957219,0.9493243243243243,0.8388059701492537,0.31208053691275167,0.05067567567567568,0
5,0.5,594,219,79,18,278,0.8367003367003367,0.8370442590241247,0.7787114845938375,0.9391891891891891,0.8514548238897397,0.2651006711409396,0.060810810810810814,0
5,0.55,594,223,75,18,278,0.8434343434343434,0.843755668420098,0.7875354107648725,0.9391891891891891,0.8567026194144838,0.2516778523489933,0.060810810810810814,0
5,0.6,594,232,66,22,274,0.8518518518518519,0.8520995828042808,0.8058823529411765,0.9256756756756757,0.8616352201257862,0.2214765100671141,0.07432432432432433,0
5,0.65,594,238,60,31,265,0.8468013468013468,0.8469639941955378,0.8153846153846154,0.8952702702702703,0.8534621578099839,0.20134228187919462,0.10472972972972973,0
5,0.7,594,244,54,38,258,0.8451178451178452,0.8452067839651732,0.8269230769230769,0.8716216216216216,0.8486842105263158,0.18120805369127516,0.12837837837837837,0
5,0.75,594,250,48,43,253,0.8468013468013468,0.846827952113187,0.840531561461794,0.8547297297297297,0.847571189279732,0.1610738255033557,0.14527027027027026,0
5,0.8,594,264,34,52,244,0.8552188552188552,0.8551151822963904,0.8776978417266187,0.8243243243243243,0.8501742160278746,0.11409395973154363,0.17567567567567569,0
5,0.85,594,269,29,62,234,0.8468013468013468,0.846612552149465,0.8897338403041825,0.7905405405405406,0.8372093023255814,0.09731543624161074,0.20945945945945946,0
5,0.9,594,279,19,73,223,0.8451178451178452,0.8448099945583167,0.9214876033057852,0.7533783783783784,0.828996282527881,0.06375838926174497,0.24662162162162163,0
7,0.3,594,190,108,7,289,0.8063973063973064,0.8069676219844004,0.7279596977329975,0.9763513513513513,0.834054834054834,0.3624161073825503,0.02364864864864865,0
7,0.35,594,195,103,12,284,0.8063973063973064,0.8069109377834209,0.7338501291989664,0.9594594594594594,0.8316251830161054,0.34563758389261745,0.04054054054054054,0
7,0.4,594,202,96,14,282,0.8148148148148148,0.8152775258479956,0.746031746031746,0.9527027027027027,0.8367952522255193,0.3221476510067114,0.0472972972972973,0
7,0.45,594,211,87,15,281,0.8282828282828283,0.8286890077997461,0.7635869565217391,0.9493243243243243,0.8463855421686747,0.29194630872483224,0.05067567567567568,0
7,0.5,594,220,78,18,278,0.8383838383838383,0.838722111373118,0.7808988764044944,0.9391891891891891,0.852760736196319,0.26174496644295303,0.060810810810810814,0
7,0.55,594,226,72,21,275,0.8434343434343434,0.8437216578995103,0.792507204610951,0.9290540540540541,0.8553654743390358,0.24161073825503357,0.07094594594594594,0
7,0.6,594,237,61,25,271,0.8552188552188552,0.8554212769816797,0.8162650602409639,0.9155405405405406,0.8630573248407644,0.20469798657718122,0.08445945945945946,1
7,0.65,594,242,56,35,261,0.8468013468013468,0.8469186468347543,0.8233438485804416,0.8817567567567568,0.8515497553017944,0.18791946308724833,0.11824324324324324,0
7,0.7,594,247,51,40,256,0.8468013468013468,0.8468619626337748,0.8338762214983714,0.8648648648648649,0.8490878938640133,0.17114093959731544,0.13513513513513514,0
7,0.75,594,256,42,48,248,0.8484848484848485,0.8484491202612008,0.8551724137931035,0.8378378378378378,0.8464163822525598,0.14093959731543623,0.16216216216216217,0
7,0.8,594,265,33,53,243,0.8552188552188552,0.8551038454561944,0.8804347826086957,0.8209459459459459,0.8496503496503497,0.11073825503355705,0.17905405405405406,0
7,0.85,594,273,25,66,230,0.8468013468013468,0.8465672047886812,0.9019607843137255,0.777027027027027,0.8348457350272233,0.08389261744966443,0.22297297297297297,0
7,0.9,594,283,15,73,223,0.8518518518518519,0.8515214039542899,0.9369747899159664,0.7533783783783784,0.8352059925093633,0.050335570469798654,0.24662162162162163,0
