k,threshold,n_validation,tn,fp,fn,tp,accuracy,balanced_accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,selected
5,0.65,594,237,61,29,267,0.8484848484848485,0.8486645202249229,0.8140243902439024,0.902027027027027,0.8557692307692307,0.20469798657718122,0.09797297297297297,0
5,0.7,594,243,55,39,257,0.8417508417508418,0.8418397424269908,0.8237179487179487,0.8682432432432432,0.8453947368421053,0.18456375838926176,0.13175675675675674,0
5,0.75,594,249,49,45,251,0.8417508417508418,0.8417717213858154,0.8366666666666667,0.847972972972973,0.8422818791946308,0.1644295302013423,0.15202702702702703,0
5,0.8,594,263,35,51,245,0.8552188552188552,0.8551265191365862,0.875,0.8277027027027027,0.8506944444444444,0.1174496644295302,0.17229729729729729,0
5,0.85,594,274,24,58,238,0.8619528619528619,0.8617585706511881,0.9083969465648855,0.8040540540540541,0.8530465949820788,0.08053691275167785,0.19594594594594594,0
5,0.9,594,283,15,76,220,0.8468013468013468,0.8464538363867222,0.9361702127659575,0.7432432432432432,0.8286252354048964,0.050335570469798654,0.25675675675675674,0
7,0.3,594,186,112,11,285,0.7929292929292929,0.7934994558316706,0.7178841309823678,0.9628378378378378,0.8225108225108225,0.37583892617449666,0.037162162162162164,0
7,0.35,594,194,104,12,284,0.8047138047138047,0.8052330854344276,0.7319587628865979,0.9594594594594594,0.8304093567251462,0.348993288590604,0.04054054054054054,0
7,0.4,594,202,96,14,282,0.8148148148148148,0.8152775258479956,0.746031746031746,0.9527027027027027,0.8367952522255193,0.3221476510067114,0.0472972972972973,0
7,0.45,594,209,89,17,279,0.8215488215488216,0.821954924723381,0.7581521739130435,0.9425675675675675,0.8403614457831325,0.2986577181208054,0.057432432432432436,0
7,0.5,594,215,83,21,275,0.8249158249158249,0.8252652820605841,0.7681564245810056,0.9290540540540541,0.8409785932721713,0.2785234899328859,0.07094594594594594,0
7,0.55,594,224,74,22,274,0.8383838383838383,0.8386767640123345,0.7873563218390804,0.9256756756756757,0.8509316770186336,0.2483221476510067,0.07432432432432433,0
7,0.6,594,237,61,23,273,0.8585858585858586,0.8587996553600581,0.8173652694610778,0.9222972972972973,0.8666666666666667,0.20469798657718122,0.0777027027027027,0
7,0.65,594,242,56,31,265,0.8535353535353535,0.8536754035915111,0.8255451713395638,0.8952702702702703,0.8589951377633711,0.18791946308724833,0.10472972972972973,0
7,0.7,594,245,53,40,256,0.8434343434343434,0.8435062579357882,0.8284789644012945,0.8648648648648649,0.8462809917355372,0.17785234899328858,0.13513513513513514,0
7,0.75,594,260,38,47,249,0.8569023569023569,0.8568497188463631,0.867595818815331,0.8412162162162162,0.8542024013722127,0.12751677852348994,0.15878378378378377,0
7,0.8,594,267,31,53,243,0.8585858585858586,0.858459550154181,0.8868613138686131,0.8209459459459459,0.8526315789473684,0.1040268456375839,0.17905405405405406,0
7,0.85,594,276,22,67,229,0.8501683501683501,0.849911572646472,0.9123505976095617,0.7736486486486487,0.8372943327239488,0.0738255033557047,0.22635135135135134,0
7,0.9,594,284,14,79,217,0.8434343434343434,0.843064121168148,0.9393939393939394,0.7331081081081081,0.8235294117647058,0.04697986577181208,0.2668918918918919,0
10,0.3,594,193,105,12,284,0.803030303030303,0.8035552330854344,0.7300771208226221,0.9594594594594594,0.8291970802919708,0.3523489932885906,0.04054054054054054,0
10,0.35,594,199,99,14,282,0.8097643097643098,0.8102439688010158,0.7401574803149606,0.9527027027027027,0.8330871491875923,0.33221476510067116,0.0472972972972973,0
10,0.4,594,212,86,16,280,0.8282828282828283,0.8286776709595501,0.7650273224043715,0.9459459459459459,0.8459214501510574,0.28859060402684567,0.05405405405405406,0
10,0.45,594,219,79,21,275,0.8316498316498316,0.8319766914565572,0.7768361581920904,0.9290540540540541,0.8461538461538461,0.2651006711409396,0.07094594594594594,0
10,0.5,594,222,76,21,275,0.8367003367003367,0.8370102485035371,0.7834757834757835,0.9290540540540541,0.8500772797527048,0.2550335570469799,0.07094594594594594,0
10,0.55,594,232,66,23,273,0.8501683501683501,0.8504103936150915,0.8053097345132744,0.9222972972972973,0.8598425196850393,0.2214765100671141,0.0777027027027027,0
10,0.6,594,244,54,26,270,0.8653198653198653,0.8654770542354435,0.8333333333333334,0.9121621621621622,0.8709677419354839,0.18120805369127516,0.08783783783783784,1
10,0.65,594,249,49,38,258,0.8535353535353535,0.8535960457101397,0.8403908794788274,0.8716216216216216,0.8557213930348259,0.1644295302013423,0.12837837837837837,0
10,0.7,594,258,40,43,253,0.8602693602693603,0.8602507709051332,0.863481228668942,0.8547297297297297,0.8590831918505942,0.1342281879194631,0.14527027027027026,0
10,0.75,594,267,31,52,244,0.8602693602693603,0.8601487393433702,0.8872727272727273,0.8243243243243243,0.8546409807355516,0.1040268456375839,0.17567567567567569,0
10,0.8,594,272,26,60,236,0.8552188552188552,0.8550244875748232,0.9007633587786259,0.7972972972972973,0.8458781362007168,0.087248322147651,0.20270270270270271,0
10,0.85,594,281,17,69,227,0.8552188552188552,0.85492245601306,0.930327868852459,0.7668918918918919,0.8407407407407408,0.05704697986577181,0.23310810810810811,0
10,0.9,594,286,12,81,215,0.8434343434343434,0.8430414474877561,0.947136563876652,0.7263513513513513,0.8221797323135756,0.040268456375838924,0.27364864864864863,0
